Name on Show,Full Profile Name,Chinese Name,Company,Company English,Company Chinese,Judges Evaluation 1,Judges Evaluation 2,Judges Evaluation 3,Ranking Ep 2,Ranking Ep 4,Ranking Ep 6,Live Voting Ranking Ep 7,Ranking Ep 9 + 10,Ranking Ep 12,Live Voting Ranking Ep 13,Ranking Ep 16
Hana Lin,Hana Lin Xiaozhai,林小宅,Good@ Media(点赞传播),Good@ Media,点赞传播,F,D,D,18,26,31,52,31,21,54,33
Joey Chua,Joey Chua Zhuoyi,蔡卓宜,Maninquin Entertainment(麦尼肯娱乐),Maninquin Entertainment,麦尼肯娱乐,F,B,D,5,5,7,14,11,16,40,26
Snow Kong,Snow Kong Xueer,孔雪儿,Mountain Top Entertainment(泰洋川禾),Mountain Top Entertainment,泰洋川禾,A,C,B,10,8,9,38,9,8,12,8
Xiaotang Zhao,Lana Zhao Xiaotang,赵小棠,Mountain Top Entertainment(泰洋川禾),Mountain Top Entertainment,泰洋川禾,C,D,C,61,10,3,42,3,2,16,5
Yennis Huang,Yennis Huang Xinyuan,黄欣苑,M+ Entertainment(木加互娱),M+ Entertainment,木加互娱,B,F,D,72,81,77,99,51,53,56,58
Nikita Huang,Nikita Huang Yiming,黄一鸣,M+ Entertainment(木加互娱),M+ Entertainment,木加互娱,F,F,F,70,93,80,75,82,,,
Yuni Xiong,Yuni Xiong Yuqing,熊钰清,M+ Entertainment(木加互娱),M+ Entertainment,木加互娱,D,F,C,95,100,86,75,87,,,
Aurora,Wang Mengyu Aurora,王梦妤,OACA(觉醒东方),OACA,觉醒东方,B,F,D,50,61,65,109,70,,,
Lingzi Liu,Liu Lingzi,刘令姿,OACA(觉醒东方),OACA,觉醒东方,B,A,B,39,28,36,6,25,12,14,10
Milla,Milla Mi La,米拉,OACA(觉醒东方),OACA,觉醒东方,B,F,C,87,101,102,104,102,,,
Seven,Seven Zou Siyang,邹思扬,OACA(觉醒东方),OACA,觉醒东方,B,D,D,90,70,58,65,66,,,
Jenny Zeng,Jenny Zeng Keni,曾可妮,OACA(觉醒东方),OACA,觉醒东方,B,D,B,42,32,37,53,39,20,15,16
Gia Jin ??,Gia Jin Jiya,金吉雅,Off/Shore Music(海盗音乐),Off/Shore Music,海盗音乐,C,D,F,97,85,67,57,71,,,
NaHo,NaHo Qi Sui,七穗,Second Culture,Second Culture,,F,D,B,43,22,24,51,28,40,8,41
Handong,Han Dong,韩东,Show City Times(少城时代),Show City Times,少城时代,C,F,D,56,62,64,82,59,56,49,56
Beebee Huang,BeeBee Huang Xiaoyun,黄小芸,Show City Times(少城时代),Show City Times,少城时代,D,C,D,48,72,83,29,85,,,
Shuyu Wei,Wei Shuyu,未书羽,Show City Times(少城时代),Show City Times,少城时代,D,F,F,89,108,75,105,78,,,
Xinwen Xu,Xu Xinwen,许馨文,Show City Times(少城时代),Show City Times,少城时代,B,A,B,79,95,84,5,57,29,30,21
Ruohang Feng,Feng Ruohang,冯若航,Shengyuan Inter Entertainment(圣元互娱),Shengyuan Inter Entertainment,圣元互娱,B,F,D,46,51,49,88,47,38,43,44
Lynn Zhou,Lynn Zhou Lincong,周琳聪,Shengyuan Inter Entertainment(圣元互娱),Shengyuan Inter Entertainment,圣元互娱,D,D,D,98,76,74,65,77,,,
Yichen Zha,Yichen Zha,查祎琛,Shengyuan Inter Entertainment(圣元互娱),Shengyuan Inter Entertainment,圣元互娱,D,F,B,75,69,71,83,74,,,
Joy Zhuoyi,Joy Zhuoyi Namu,卓依娜姆,Channy Dynasty(诚利千代),Channy Dynasty,诚利千代,C,F,C,74,84,92,86,93,,,
DDD,DDD Duan Yixuan,段艺璇,Shanghai Star48 Culture Media Group SNH48 (丝芭传媒),Shanghai Star48 Culture Media Group SNH48 ,丝芭传媒,D,C,C,12,12,17,22,19,15,28,30
Air Su,Air Su Shanshan,苏杉杉,Shanghai Star48 Culture Media Group SNH48 (丝芭传媒),Shanghai Star48 Culture Media Group SNH48 ,丝芭传媒,D,D,F,26,34,41,70,46,43,30,40
Momo,Momo Mo Han,莫寒,Shanghai Star48 Culture Media Group SNH48 (丝芭传媒),Shanghai Star48 Culture Media Group SNH48 ,丝芭传媒,D,B,D,14,24,28,19,35,45,24,22
Qinyuan Fei,Fei Qinyuan,费沁源,Shanghai Star48 Culture Media Group SNH48 (丝芭传媒),Shanghai Star48 Culture Media Group SNH48 ,丝芭传媒,D,C,C,13,14,23,40,32,30,13,38
